StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q9_1,Q10,Q11,Q12,Q13
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your full name?,What is your UIowa email?,What year will you be in Fall 2022?,"Have you previously taught MATH:0100, MATH:1005, MATH:1010, MATH:1020, or MATH:1560? (select all that apply)","List your preferred times to teach (1 being most preferred, 5 being least preferred). - Early morning (7:30 AM - 9:30 AM Start Time)","List your preferred times to teach (1 being most preferred, 5 being least preferred). - Morning (9:30 AM - 11:30 AM Start Time)","List your preferred times to teach (1 being most preferred, 5 being least preferred). - Early Afternoon (12 PM - 2 PM Start Time)","List your preferred times to teach (1 being most preferred, 5 being least preferred). - Afternoon (2 PM - 4 PM Start Time)","List your preferred times to teach (1 being most preferred, 5 being least preferred). - Evening (4 PM or Later Start Time)",List your top five course preferences. - 1st Choice,List your top five course preferences. - 2nd Choice,List your top five course preferences. - 3rd Choice,List your top five course preferences. - 4th Choice,List your top five course preferences. - 5th Choice,Do you care more about your course preferences or your time preferences?,"List all days/times you are NOT available.
Please answer honestly and remember to include all times you are taking courses, seminars, etc. Do NOT mark a time simply because you do not prefer to teach at this time. Not following these instructions may slow the TA assignment process for everyone. - 7:30 - 8:20 AM","List all days/times you are NOT available.
Please answer honestly and remember to include all times you are taking courses, seminars, etc. Do NOT mark a time simply because you do not prefer to teach at this time. Not following these instructions may slow the TA assignment process for everyone. - 8:30 - 9:20 AM","List all days/times you are NOT available.
Please answer honestly and remember to include all times you are taking courses, seminars, etc. Do NOT mark a time simply because you do not prefer to teach at this time. Not following these instructions may slow the TA assignment process for everyone. - 9:30 - 10:20 AM","List all days/times you are NOT available.
Please answer honestly and remember to include all times you are taking courses, seminars, etc. Do NOT mark a time simply because you do not prefer to teach at this time. Not following these instructions may slow the TA assignment process for everyone. - 10:30 - 11:20 AM","List all days/times you are NOT available.
Please answer honestly and remember to include all times you are taking courses, seminars, etc. Do NOT mark a time simply because you do not prefer to teach at this time. Not following these instructions may slow the TA assignment process for everyone. - 11:00 - 11:50 AM","List all days/times you are NOT available.
Please answer honestly and remember to include all times you are taking courses, seminars, etc. Do NOT mark a time simply because you do not prefer to teach at this time. Not following these instructions may slow the TA assignment process for everyone. - 11:30 - 12:20 PM","List all days/times you are NOT available.
Please answer honestly and remember to include all times you are taking courses, seminars, etc. Do NOT mark a time simply because you do not prefer to teach at this time. Not following these instructions may slow the TA assignment process for everyone. - 12:30 - 1:20 PM","List all days/times you are NOT available.
Please answer honestly and remember to include all times you are taking courses, seminars, etc. Do NOT mark a time simply because you do not prefer to teach at this time. Not following these instructions may slow the TA assignment process for everyone. - 1:30 - 2:20 PM","List all days/times you are NOT available.
Please answer honestly and remember to include all times you are taking courses, seminars, etc. Do NOT mark a time simply because you do not prefer to teach at this time. Not following these instructions may slow the TA assignment process for everyone. - 2:00 - 2:50 PM","List all days/times you are NOT available.
Please answer honestly and remember to include all times you are taking courses, seminars, etc. Do NOT mark a time simply because you do not prefer to teach at this time. Not following these instructions may slow the TA assignment process for everyone. - 2:30 - 3:20 PM","List all days/times you are NOT available.
Please answer honestly and remember to include all times you are taking courses, seminars, etc. Do NOT mark a time simply because you do not prefer to teach at this time. Not following these instructions may slow the TA assignment process for everyone. - 3:30 - 4:20 PM","List all days/times you are NOT available.
Please answer honestly and remember to include all times you are taking courses, seminars, etc. Do NOT mark a time simply because you do not prefer to teach at this time. Not following these instructions may slow the TA assignment process for everyone. - 4:30 PM or later","Check all MATH:5XXX+ courses you are taking below. - If you are taking other courses, see the next question.","If you are taking other courses not listed above, please list below in course number format, separated by a comma if multiple e.g: CBE:5120, BAIS:6700.",Are you willing to be on an overload schedule this semester (25 hours instead of 20)? You would have 15 hours in the spring.,"Given the option, would you prefer more Math Tutorial Lab hours, extra grading, both, or neither?",Please leave any other comments you may have here.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID9""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID7_8""}","{""ImportId"":""QID7_9""}","{""ImportId"":""QID7_10""}","{""ImportId"":""QID7_11""}","{""ImportId"":""QID7_12""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}"
5/25/2022 20:29,5/25/2022 20:41,IP Address,redacted,100,727,TRUE,5/25/2022 20:41,redacted,,,,,redacted,redacted,anonymous,EN,TA 99,redacted,4,"MATH:0100 - Basic Algebra I,MATH:1560 - Engineer Math II: Multivariable Calculus",5,1,2,4,3,MATH:3720 - Introduction to Abstract Algebra I,MATH:1850 - Calculus I,MATH:1340 - Mathematics for Business,MATH:5000 - Abstract Algebra I,MATH:1560 - Engineer Math II: Multivariable Calculus,Time preferences,"Tuesday,Wednesday,Friday",,,,,"Monday,Wednesday,Friday",,,,,,,"MATH:5800 - Numerical Methods I,MATH:7030 - Topics in Algebra",,No,Both,
5/28/2022 13:45,5/28/2022 13:49,IP Address,redacted,100,212,TRUE,5/28/2022 13:49,redacted,,,,,redacted,redacted,anonymous,EN,TA 98,redacted,7+,"MATH:1005 - College Algebra,MATH:1010 - Trigonometry,MATH:1020 - Elementary Functions,MATH:1560 - Engineer Math II: Multivariable Calculus",5,4,1,2,3,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1460 - Calculus for the Biological Sciences,MATH:1350 - Quantitative Reasoning for Business,MATH:1440 - Mathematics for the Biological Sciences,MATH:1340 - Mathematics for Business,I care about these equally,"Monday,Tuesday,Wednesday,Thursday,Friday",Friday,Friday,Friday,Friday,Friday,Friday,Friday,Friday,"Wednesday,Friday",Friday,"Tuesday,Thursday,Friday","MATH:5000 - Abstract Algebra I,MATH:5750 - Mathematical Biology I,MATH:6200 - Analysis I,MATH:7830 - Topics in Applied Mathematics,MATH:7870 - Seminar: Numerical Analysis","CBE:5120,BAIS:6700",No,Neither,This is a test comment.
6/1/2022 14:29,6/1/2022 14:37,IP Address,redacted,100,440,TRUE,6/1/2022 14:37,redacted,,,,,redacted,redacted,anonymous,EN,TA 14,redacted,2,MATH:1005 - College Algebra,2,4,5,3,1,MATH:1460 - Calculus for the Biological Sciences,MATH:1440 - Mathematics for the Biological Sciences,MATH:1005 - College Algebra,MATH:1850 - Calculus I,MATH:1350 - Quantitative Reasoning for Business,Time preferences,,,"Monday,Tuesday,Wednesday,Friday","Monday,Wednesday,Friday","Monday,Wednesday,Friday",,,,"Monday,Wednesday,Friday","Monday,Wednesday,Friday",Monday,,"MATH:5800 - Numerical Methods I,MATH:6200 - Analysis I,MATH:6700 - Partial Differential Equations I,MATH:7670 - Seminar: Mathematical Biology",,Yes,Extra Grading,
6/1/2022 14:32,6/1/2022 14:41,IP Address,redacted,100,565,TRUE,6/1/2022 14:41,redacted,,,,,redacted,redacted,anonymous,EN,TA 25,redacted,4,"MATH:1005 - College Algebra,MATH:1560 - Engineer Math II: Multivariable Calculus",3,1,2,4,5,MATH:1460 - Calculus for the Biological Sciences,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1850 - Calculus I,MATH:1440 - Mathematics for the Biological Sciences,MATH:1560 - Engineer Math II: Multivariable Calculus,Course preferences,Wednesday,Wednesday,Wednesday,Wednesday,Wednesday,Wednesday,Wednesday,Wednesday,Wednesday,Wednesday,"Monday,Wednesday","Monday,Wednesday",MATH:7670 - Seminar: Mathematical Biology,,No,Neither,"On Wednesdays, my advisor and I meet with collaborators at the biomedical research building. These meetings are very important to my research. Also, I would like the times I teach to be close together. I have a dog and cannot leave her alone for extended periods of time. "
6/1/2022 14:30,6/1/2022 14:48,IP Address,redacted,100,1050,TRUE,6/1/2022 14:48,redacted,,,,,redacted,redacted,anonymous,EN,TA 10,redacted,3,I have not taught any of these.,4,1,2,3,5,MATH:3720 - Introduction to Abstract Algebra I,MATH:1850 - Calculus I,MATH:1860 - Calculus II,MATH:1460 - Calculus for the Biological Sciences,MATH:1440 - Mathematics for the Biological Sciences,Course preferences,,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Tuesday,Thursday","Tuesday,Thursday",,,,,"MATH:6000 - Categories and Modules,MATH:6400 - Algebraic Topology,MATH:6500 - Differential Geometry I,MATH:7030 - Topics in Algebra",,No,Extra Grading,
6/1/2022 14:42,6/1/2022 14:48,IP Address,redacted,100,375,TRUE,6/1/2022 14:48,redacted,,,,,redacted,redacted,anonymous,EN,TA 38,redacted,6,"MATH:1020 - Elementary Functions,MATH:1560 - Engineer Math II: Multivariable Calculus",2,1,3,4,5,MATH:1860 - Calculus II,MATH:1460 - Calculus for the Biological Sciences,MATH:1850 - Calculus I,MATH:1560 - Engineer Math II: Multivariable Calculus,MATH:1550 - Engineer Math I Single Variable Calculus,I care about these equally,Tuesday,Tuesday,Wednesday,Wednesday,,,,,,,,,MATH:7830 - Topics in Applied Mathematics,,No,Extra Grading,
6/1/2022 14:46,6/1/2022 14:51,IP Address,redacted,100,338,TRUE,6/1/2022 14:51,redacted,,,,,redacted,redacted,anonymous,EN,TA 01,redacted,5,MATH:0100 - Basic Algebra I,2,1,3,4,5,MATH:5000 - Abstract Algebra I,MATH:1005 - College Algebra,MATH:4020 - Basic Abstract Algebra,MATH:1860 - Calculus II,MATH:1850 - Calculus I,I care about these equally,,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Tuesday,Thursday",,,,,,"Monday,Tuesday,Wednesday,Thursday,Friday","MATH:6500 - Differential Geometry I,MATH:7030 - Topics in Algebra",EALL:7475,No,Both,
6/1/2022 14:29,6/1/2022 14:52,IP Address,redacted,100,1343,TRUE,6/1/2022 14:52,redacted,,,,,redacted,redacted,anonymous,EN,TA 51,redacted,3,I have not taught any of these.,5,1,2,3,4,MATH:1850 - Calculus I,MATH:1860 - Calculus II,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1560 - Engineer Math II: Multivariable Calculus,MATH:1020 - Elementary Functions,Time preferences,,,,"Monday,Wednesday,Friday",,"Monday,Wednesday,Friday",,,,,,,"MATH:6400 - Algebraic Topology,MATH:6500 - Differential Geometry I,MATH:7400 - Current Geometry and Topology I,MATH:7570 - Seminar: Differential Geometry,MATH:7770 - Seminar: Partial Differential Equations",,Yes,Math Tutorial Lab Hours,
6/1/2022 14:44,6/1/2022 14:53,IP Address,redacted,100,568,TRUE,6/1/2022 14:53,redacted,,,,,redacted,redacted,anonymous,EN,TA 23,redacted,4,MATH:1005 - College Algebra,5,4,2,1,3,MATH:1350 - Quantitative Reasoning for Business,MATH:1440 - Mathematics for the Biological Sciences,MATH:1005 - College Algebra,MATH:1460 - Calculus for the Biological Sciences,MATH:1020 - Elementary Functions,Course preferences,,,,,,,,,,,,,,,No,Neither,"I'm not planning to take any course this semester, that's why I didn't mark any time above."
6/1/2022 14:41,6/1/2022 14:53,IP Address,redacted,100,715,TRUE,6/1/2022 14:53,redacted,,,,,redacted,redacted,anonymous,EN,TA 21,redacted,3,I have not taught any of these.,1,2,3,4,5,MATH:5200 - Introduction to Analysis I,MATH:4010 - Basic Analysis,MATH:3770 - Fundamental Properties Spaces/Funct  I,MATH:3720 - Introduction to Abstract Algebra I,MATH:1860 - Calculus II,Course preferences,,,,"Monday,Wednesday,Friday","Tuesday,Thursday","Monday,Tuesday,Wednesday,Thursday,Friday","Tuesday,Thursday",Tuesday,,,Monday,,"MATH:6000 - Categories and Modules,MATH:6400 - Algebraic Topology,MATH:6500 - Differential Geometry I,MATH:7030 - Topics in Algebra,MATH:7290 - Seminar: Operator Theory",,Yes,Math Tutorial Lab Hours,
6/1/2022 14:45,6/1/2022 14:56,IP Address,redacted,100,651,TRUE,6/1/2022 14:56,redacted,,,,,redacted,redacted,anonymous,EN,TA 37,redacted,3,I have not taught any of these.,4,3,2,1,5,MATH:1460 - Calculus for the Biological Sciences,MATH:1850 - Calculus I,MATH:1860 - Calculus II,MATH:1440 - Mathematics for the Biological Sciences,MATH:1550 - Engineer Math I Single Variable Calculus,Course preferences,,,,"Monday,Wednesday,Friday",Thursday,,,,,,,,MATH:5400 - Fundamental Groups and Covering Spaces,AMCS:7990,No,Extra Grading,I would really like to *not* lead a class/discussion past a 4pm start time because I lead discussion from 5pm-5:50pm last semester. Thank you!
6/1/2022 14:40,6/1/2022 14:56,IP Address,redacted,100,945,TRUE,6/1/2022 14:56,redacted,,,,,redacted,redacted,anonymous,EN,TA 66,redacted,1,I have not taught any of these.,5,4,3,1,2,MATH:4090 - A Rigorous Intro to Abstract Algebra,MATH:4020 - Basic Abstract Algebra,MATH:1850 - Calculus I,MATH:1860 - Calculus II,MATH:4010 - Basic Analysis,Course preferences,,,,"Monday,Wednesday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Tuesday,Thursday","Tuesday,Thursday","Monday,Wednesday,Thursday,Friday","Monday,Wednesday,Thursday,Friday","Thursday,Friday","Thursday,Friday","MATH:5000 - Abstract Algebra I,MATH:5200 - Introduction to Analysis I,MATH:5400 - Fundamental Groups and Covering Spaces,MATH:5900 - First-Year Graduate Seminar,MATH:6000 - Categories and Modules,MATH:6200 - Analysis I,MATH:6400 - Algebraic Topology,MATH:7470 - Seminar: Topology",,No,Math Tutorial Lab Hours,
6/1/2022 14:55,6/1/2022 15:05,IP Address,redacted,100,631,TRUE,6/1/2022 15:05,redacted,,,,,redacted,redacted,anonymous,EN,TA 44,redacted,3,I have not taught any of these.,5,2,1,3,4,MATH:1860 - Calculus II,MATH:1850 - Calculus I,MATH:1460 - Calculus for the Biological Sciences,MATH:1440 - Mathematics for the Biological Sciences,MATH:1350 - Quantitative Reasoning for Business,Course preferences,"Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Friday","Tuesday,Thursday","Tuesday,Thursday","Monday,Tuesday,Wednesday,Thursday,Friday","Tuesday,Thursday","Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Thursday,Friday","Monday,Tuesday,Thursday,Friday","MATH:5750 - Mathematical Biology I,MATH:6700 - Partial Differential Equations I,MATH:7770 - Seminar: Partial Differential Equations",MATH:7990,No,Math Tutorial Lab Hours,I'd like to work Math Platoon in place of or in addition to the Math Tutorial Lab.
6/1/2022 14:43,6/1/2022 15:17,IP Address,redacted,100,2022,TRUE,6/1/2022 15:17,redacted,,,,,redacted,redacted,anonymous,EN,TA 62,redacted,1,"MATH:0100 - Basic Algebra I,MATH:1005 - College Algebra,MATH:1010 - Trigonometry,MATH:1020 - Elementary Functions",1,5,2,4,3,MATH:1460 - Calculus for the Biological Sciences,MATH:1005 - College Algebra,MATH:1020 - Elementary Functions,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1010 - Trigonometry,I care about these equally,,,"Monday,Tuesday,Wednesday,Friday",,,,,"Monday,Wednesday,Friday","Tuesday,Thursday","Monday,Wednesday,Friday",Friday,,"MATH:5200 - Introduction to Analysis I,MATH:5600 - Nonlinear Dynamics with Numerical Methds,MATH:5800 - Numerical Methods I,MATH:5900 - First-Year Graduate Seminar",,No,Math Tutorial Lab Hours,
6/1/2022 14:35,6/1/2022 15:22,IP Address,redacted,100,2866,TRUE,6/1/2022 15:22,redacted,,,,,redacted,redacted,anonymous,EN,TA 36,redacted,3,MATH:1560 - Engineer Math II: Multivariable Calculus,3,1,2,4,5,MATH:1860 - Calculus II,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1850 - Calculus I,MATH:1460 - Calculus for the Biological Sciences,MATH:1560 - Engineer Math II: Multivariable Calculus,Time preferences,,"Monday,Wednesday,Friday",,"Monday,Wednesday,Friday",,,,,,,,,MATH:7830 - Topics in Applied Mathematics,STAT 4100,Yes,Math Tutorial Lab Hours,
6/1/2022 15:24,6/1/2022 15:30,IP Address,redacted,100,341,TRUE,6/1/2022 15:30,redacted,,,,,redacted,redacted,anonymous,EN,TA 22,redacted,2,I have not taught any of these.,3,5,4,2,1,MATH:1850 - Calculus I,MATH:1860 - Calculus II,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1005 - College Algebra,MATH:1560 - Engineer Math II: Multivariable Calculus,Course preferences,,,"Monday,Tuesday,Wednesday,Friday","Monday,Wednesday,Friday",,,,,,"Monday,Wednesday,Friday",,,"MATH:5800 - Numerical Methods I,MATH:6200 - Analysis I,MATH:6700 - Partial Differential Equations I",,No,Math Tutorial Lab Hours,
6/1/2022 15:19,6/1/2022 15:32,IP Address,redacted,100,775,TRUE,6/1/2022 15:32,redacted,,,,,redacted,redacted,anonymous,EN,TA 03,redacted,4,MATH:1560 - Engineer Math II: Multivariable Calculus,5,4,3,2,1,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1440 - Mathematics for the Biological Sciences,MATH:1350 - Quantitative Reasoning for Business,MATH:1850 - Calculus I,MATH:1005 - College Algebra,Course preferences,"Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday",,"Monday,Wednesday,Friday",,,,,"Monday,Wednesday,Friday","Monday,Wednesday,Friday",,,"MATH:6200 - Analysis I,MATH:7830 - Topics in Applied Mathematics",,No,Neither,
